iter	Passed	Remaining
0	2	230
1	4	242
2	7	234
3	8	210
4	10	203
5	12	200
6	14	197
7	16	192
8	18	190
9	21	191
10	23	188
11	24	180
12	25	173
13	27	168
14	28	162
15	29	156
16	31	151
17	32	147
18	33	142
19	34	139
20	35	134
21	36	130
22	37	125
23	38	122
24	39	119
25	40	115
26	41	112
27	42	109
28	43	105
29	44	103
30	45	101
31	46	98
32	47	97
33	48	94
34	49	92
35	50	89
36	51	87
37	51	84
38	52	82
39	53	79
40	54	77
41	54	75
42	55	73
43	55	71
44	56	69
45	57	67
46	57	65
47	58	63
48	59	61
49	59	59
50	60	58
51	61	56
52	62	54
53	62	53
54	63	51
55	63	50
56	64	48
57	65	47
58	66	45
59	66	44
60	67	43
61	68	41
62	68	40
63	69	39
64	70	37
65	70	36
66	71	35
67	72	33
68	72	32
69	73	31
70	74	30
71	74	29
72	75	27
73	76	26
74	76	25
75	77	24
76	77	23
77	78	22
78	79	21
79	80	20
80	80	18
81	81	17
82	82	16
83	82	15
84	83	14
85	84	13
86	84	12
87	85	11
88	86	10
89	86	9
90	87	8
91	87	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	91	1
98	92	0
99	92	0
